Name,Path,Descr.,%-T,%-#,Count/mL
LL5,P1\P2\LL5,,34.61,40.73,2.41E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0.01,0.01,80.3
LR5,P1\P2\LR5,,50.34,59.25,3.51E+05
cm2015-08-16.006,cm2015-08-16.006,,100,---,9.26E+04
P1,P1,,1.67,1.67,1.55E+03
P2,P1\P2,,0.73,43.33,672
LL3,P1\P2\LL3,,0,0,0
UL3,P1\P2\UL3,,0.56,76.92,517
UR3,P1\P2\UR3,,0,0,0
LR3,P1\P2\LR3,,0.17,23.08,155
LL4,P1\P2\LL4,,0.17,23.08,155
UL4,P1\P2\UL4,,0.56,76.92,517
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,0.17,23.08,155
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,0.56,76.92,517
cm2015-08-16.005,cm2015-08-16.005,,100,---,6.28E+05
P1,P1,,95.99,95.99,6.03E+05
P2,P1\P2,,93.33,97.23,5.86E+05
LL3,P1\P2\LL3,,0.14,0.15,887
UL3,P1\P2\UL3,,50.16,53.75,3.15E+05
UR3,P1\P2\UR3,,0.38,0.41,2.41E+03
LR3,P1\P2\LR3,,42.64,45.69,2.68E+05
LL4,P1\P2\LL4,,42.8,45.85,2.69E+05
UL4,P1\P2\UL4,,50.53,54.15,3.17E+05
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,42.57,45.62,2.67E+05
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0.01,0.01,42.3
LR5,P1\P2\LR5,,50.75,54.38,3.19E+05
cm2015-08-16.004,cm2015-08-16.004,,100,---,2.68E+04
P1,P1,,3.7,3.7,993
P2,P1\P2,,2.62,70.83,703
LL3,P1\P2\LL3,,0.15,5.88,41.4
UL3,P1\P2\UL3,,1.08,41.18,290
UR3,P1\P2\UR3,,0,0,0
LR3,P1\P2\LR3,,1.39,52.94,372
LL4,P1\P2\LL4,,1.54,58.82,414
UL4,P1\P2\UL4,,1.08,41.18,290
UR4,P1\P2\UR4,,0,0,0
LR4,P1\P2\LR4,,0,0,0
LL5,P1\P2\LL5,,1.54,58.82,414
UL5,P1\P2\UL5,,0,0,0
UR5,P1\P2\UR5,,0,0,0
LR5,P1\P2\LR5,,1.08,41.18,290
cm2015-08-16.003,cm2015-08-16.003,,100,---,1.39E+06
P1,P1,,99.86,99.86,1.38E+06
