"","replicate","epoch","pool","treatment","name","percent_cells","Count.mL","Count"
"433","rep3",3,"plastic vs P2","FOA","unstained",0.02,70.1,7
"434","rep3",3,"red vs green","ura","GFP",34.09,115000,11466
"435","rep3",3,"red vs green","FOA","GFP",36.38,154000,15369
"436","rep3",3,"plastic vs P2","ura","GFP",0,0,0
"437","rep3",3,"plastic vs P2","FOA","GFP",0,0,0
"438","rep3",3,"plastic vs P1","ura","GFP",0,0,0
"439","rep3",3,"plastic vs P1","FOA","GFP",0,0,0
"440","rep3",3,"plastic vs P2","ura","mCherry",99.95,335000,33450
"441","rep3",3,"plastic vs P1","ura","mCherry",99.96,340000,34005
"442","rep3",3,"plastic vs P1","FOA","mCherry",99.95,403000,40232
"443","rep3",3,"red vs green","FOA","mCherry",46.24,196000,19531
"444","rep3",3,"plastic vs P2","FOA","mCherry",99.98,322000,32135
"445","rep3",3,"red vs green","ura","mCherry",55.31,186000,18603
"446","rep3",3,"plastic vs P2","ura","mCherry/GFP",0,0,0
"447","rep3",3,"red vs green","ura","mCherry/GFP",0.18,619,62
"448","rep3",3,"plastic vs P1","FOA","mCherry/GFP",0,0,0
"449","rep3",3,"red vs green","FOA","mCherry/GFP",0.21,881,88
"450","rep3",3,"plastic vs P2","FOA","mCherry/GFP",0,0,0
"451","rep3",3,"plastic vs P1","ura","mCherry/GFP",0,0,0
"452","rep3",4,"plastic vs P2","ura","cells",96.78,406000,40582
"453","rep3",4,"plastic vs P1","ura","cells",96.78,351000,35055
"454","rep3",4,"red vs green","ura","cells",96.88,363000,36249
"455","rep3",4,"plastic vs P1","FOA","cells",95.89,244000,24365
"456","rep3",4,"red vs green","FOA","cells",96.2,253000,25249
"457","rep3",4,"plastic vs P2","FOA","cells",95.21,334000,33317
"458","rep3",4,"red vs green","ura","unstained",5.44,19700,1971
"459","rep3",4,"plastic vs P1","ura","unstained",0.03,120,12
"460","rep3",4,"plastic vs P1","FOA","unstained",0.15,360,36
"461","rep3",4,"plastic vs P2","ura","unstained",0.04,170,17
"462","rep3",4,"plastic vs P2","FOA","unstained",0.03,110,11
"463","rep3",4,"red vs green","FOA","unstained",1.07,2700,270
"464","rep3",4,"plastic vs P2","ura","GFP",0,0,0
"465","rep3",4,"plastic vs P1","FOA","GFP",0,0,0
"466","rep3",4,"plastic vs P2","FOA","GFP",0,0,0
"467","rep3",4,"red vs green","ura","GFP",35.14,128000,12739
"468","rep3",4,"plastic vs P1","ura","GFP",0,0,0
"469","rep3",4,"red vs green","FOA","GFP",50.05,126000,12636
"470","rep3",4,"plastic vs P1","ura","mCherry",99.97,351000,35043
"471","rep3",4,"red vs green","ura","mCherry",59.25,215000,21479
"472","rep3",4,"plastic vs P2","ura","mCherry",99.95,406000,40563
"473","rep3",4,"red vs green","FOA","mCherry",48.79,123000,12319
"474","rep3",4,"plastic vs P2","FOA","mCherry",99.97,333000,33306
"475","rep3",4,"plastic vs P1","FOA","mCherry",99.85,244000,24329
"476","rep3",4,"red vs green","FOA","mCherry/GFP",0.1,240,24
"477","rep3",4,"plastic vs P2","ura","mCherry/GFP",0,20,2
"478","rep3",4,"red vs green","ura","mCherry/GFP",0.17,601,60
"479","rep3",4,"plastic vs P1","ura","mCherry/GFP",0,0,0
"480","rep3",4,"plastic vs P1","FOA","mCherry/GFP",0,0,0
"481","rep3",4,"plastic vs P2","FOA","mCherry/GFP",0,0,0
"167","rep1",1,"plastic vs P1","FOA","cells",97.68,697000,69646
"168","rep1",1,"red vs green","FOA","cells",97.69,676000,67572
"169","rep1",1,"plastic vs P2","FOA","cells",97.77,716000,71531
"170","rep1",1,"plastic vs P2","FOA","unstained",10.39,74400,7435
"171","rep1",1,"plastic vs P1","FOA","unstained",11.35,79100,7905
"172","rep1",1,"red vs green","FOA","unstained",4.43,30000,2992
"173","rep1",1,"red vs green","FOA","GFP",45.3,306000,30610
"174","rep1",1,"plastic vs P2","FOA","GFP",37.21,266000,26615
"175","rep1",1,"plastic vs P1","FOA","GFP",35.92,250000,25018
"176","rep1",1,"plastic vs P2","FOA","mCherry",52.23,374000,37363
"177","rep1",1,"plastic vs P1","FOA","mCherry",52.56,366000,36603
"178","rep1",1,"red vs green","FOA","mCherry",50.12,339000,33869
"179","rep1",1,"red vs green","FOA","mCherry/GFP",0.15,1010,101
"180","rep1",1,"plastic vs P2","FOA","mCherry/GFP",0.16,1180,118
"181","rep1",1,"plastic vs P1","FOA","mCherry/GFP",0.17,1200,120
"272","rep2",1,"plastic vs P1","FOA","cells",97.89,503000,12465
"273","rep2",1,"red vs green","FOA","cells",98.57,459000,11417
"274","rep2",1,"plastic vs P2","FOA","cells",98.34,549000,13575
"275","rep2",1,"plastic vs P2","FOA","unstained",7.43,40800,1009
"276","rep2",1,"plastic vs P1","FOA","unstained",10.78,54200,1344
"277","rep2",1,"red vs green","FOA","unstained",6.29,28800,718
"278","rep2",1,"red vs green","FOA","GFP",45.96,211000,5247
"279","rep2",1,"plastic vs P2","FOA","GFP",45.94,252000,6236
"280","rep2",1,"plastic vs P1","FOA","GFP",38.22,192000,4764
"281","rep2",1,"plastic vs P2","FOA","mCherry",46.52,255000,6315
"282","rep2",1,"plastic vs P1","FOA","mCherry",50.83,256000,6336
"283","rep2",1,"red vs green","FOA","mCherry",47.55,218000,5429
"284","rep2",1,"red vs green","FOA","mCherry/GFP",0.2,924,23
"285","rep2",1,"plastic vs P2","FOA","mCherry/GFP",0.11,607,15
"286","rep2",1,"plastic vs P1","FOA","mCherry/GFP",0.17,847,21
"377","rep3",1,"plastic vs P1","FOA","cells",98.32,559000,55825
"378","rep3",1,"red vs green","FOA","cells",98.32,648000,64742
"379","rep3",1,"plastic vs P2","FOA","cells",98.04,662000,66175
"380","rep3",1,"plastic vs P2","FOA","unstained",4.06,26900,2687
"381","rep3",1,"plastic vs P1","FOA","unstained",6.67,37200,3721
"382","rep3",1,"red vs green","FOA","unstained",0.9,5840,583
"383","rep3",1,"red vs green","FOA","GFP",46.29,3e+05,29966
"384","rep3",1,"plastic vs P2","FOA","GFP",37.14,246000,24576
"385","rep3",1,"plastic vs P1","FOA","GFP",36.22,202000,20222
"386","rep3",1,"plastic vs P2","FOA","mCherry",58.62,388000,38794
"387","rep3",1,"plastic vs P1","FOA","mCherry",57,319000,31819
"388","rep3",1,"red vs green","FOA","mCherry",52.58,341000,34039
"389","rep3",1,"red vs green","FOA","mCherry/GFP",0.24,1540,154
"390","rep3",1,"plastic vs P2","FOA","mCherry/GFP",0.18,1180,118
"391","rep3",1,"plastic vs P1","FOA","mCherry/GFP",0.11,631,63
"1671","rep1",1,"plastic vs P1","ura","cells",97.68,697000,69646
"1681","rep1",1,"red vs green","ura","cells",97.69,676000,67572
"1691","rep1",1,"plastic vs P2","ura","cells",97.77,716000,71531
"1701","rep1",1,"plastic vs P2","ura","unstained",10.39,74400,7435
"1711","rep1",1,"plastic vs P1","ura","unstained",11.35,79100,7905
"1721","rep1",1,"red vs green","ura","unstained",4.43,30000,2992
"1731","rep1",1,"red vs green","ura","GFP",45.3,306000,30610
"1741","rep1",1,"plastic vs P2","ura","GFP",37.21,266000,26615
"1751","rep1",1,"plastic vs P1","ura","GFP",35.92,250000,25018
"1761","rep1",1,"plastic vs P2","ura","mCherry",52.23,374000,37363
"1771","rep1",1,"plastic vs P1","ura","mCherry",52.56,366000,36603
"1781","rep1",1,"red vs green","ura","mCherry",50.12,339000,33869
"1791","rep1",1,"red vs green","ura","mCherry/GFP",0.15,1010,101
"1801","rep1",1,"plastic vs P2","ura","mCherry/GFP",0.16,1180,118
"1811","rep1",1,"plastic vs P1","ura","mCherry/GFP",0.17,1200,120
"2721","rep2",1,"plastic vs P1","ura","cells",97.89,503000,12465
"2731","rep2",1,"red vs green","ura","cells",98.57,459000,11417
"2741","rep2",1,"plastic vs P2","ura","cells",98.34,549000,13575
"2751","rep2",1,"plastic vs P2","ura","unstained",7.43,40800,1009
"2761","rep2",1,"plastic vs P1","ura","unstained",10.78,54200,1344
"2771","rep2",1,"red vs green","ura","unstained",6.29,28800,718
"2781","rep2",1,"red vs green","ura","GFP",45.96,211000,5247
"2791","rep2",1,"plastic vs P2","ura","GFP",45.94,252000,6236
"2801","rep2",1,"plastic vs P1","ura","GFP",38.22,192000,4764
"2811","rep2",1,"plastic vs P2","ura","mCherry",46.52,255000,6315
"2821","rep2",1,"plastic vs P1","ura","mCherry",50.83,256000,6336
"2831","rep2",1,"red vs green","ura","mCherry",47.55,218000,5429
"2841","rep2",1,"red vs green","ura","mCherry/GFP",0.2,924,23
"2851","rep2",1,"plastic vs P2","ura","mCherry/GFP",0.11,607,15
"2861","rep2",1,"plastic vs P1","ura","mCherry/GFP",0.17,847,21
"3771","rep3",1,"plastic vs P1","ura","cells",98.32,559000,55825
"3781","rep3",1,"red vs green","ura","cells",98.32,648000,64742
"3791","rep3",1,"plastic vs P2","ura","cells",98.04,662000,66175
"3801","rep3",1,"plastic vs P2","ura","unstained",4.06,26900,2687
"3811","rep3",1,"plastic vs P1","ura","unstained",6.67,37200,3721
"3821","rep3",1,"red vs green","ura","unstained",0.9,5840,583
"3831","rep3",1,"red vs green","ura","GFP",46.29,3e+05,29966
"3841","rep3",1,"plastic vs P2","ura","GFP",37.14,246000,24576
"3851","rep3",1,"plastic vs P1","ura","GFP",36.22,202000,20222
"3861","rep3",1,"plastic vs P2","ura","mCherry",58.62,388000,38794
"3871","rep3",1,"plastic vs P1","ura","mCherry",57,319000,31819
"3881","rep3",1,"red vs green","ura","mCherry",52.58,341000,34039
"3891","rep3",1,"red vs green","ura","mCherry/GFP",0.24,1540,154
"3901","rep3",1,"plastic vs P2","ura","mCherry/GFP",0.18,1180,118
"3911","rep3",1,"plastic vs P1","ura","mCherry/GFP",0.11,631,63
